epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.425,1.71801,2.99837,1.25574,0.84077,0.09796,0.21943,0.15166,1.4005,2.93091,1.1545,0.000656085,0.000656085,0.000656085
2,279.162,1.66752,2.19375,1.32153,0.25372,0.48148,0.29194,0.16449,1.53494,2.35185,1.27487,0.0011918,0.0011918,0.0011918
3,415.154,1.62068,1.83617,1.26306,0.56448,0.66667,0.62211,0.36339,1.45341,1.9789,1.29121,0.00159551,0.00159551,0.00159551
4,553.383,1.60812,1.6575,1.27108,0.54108,0.61111,0.59686,0.33879,1.49926,1.90782,1.32834,0.001406,0.001406,0.001406
5,694.163,1.50051,1.41867,1.22776,0.7917,0.7037,0.78097,0.48923,1.38493,1.30363,1.26047,0.001208,0.001208,0.001208
6,836.769,1.44133,1.24588,1.1698,0.80988,0.74942,0.81662,0.51459,1.3493,1.14567,1.2314,0.00101,0.00101,0.00101
7,977.429,1.38525,1.14046,1.16452,0.81898,0.75,0.83305,0.57193,1.27617,1.05619,1.19963,0.000812,0.000812,0.000812
8,1114.61,1.33586,1.05714,1.11304,0.87781,0.80556,0.84193,0.55952,1.21946,1.11114,1.16357,0.000614,0.000614,0.000614
9,1264.82,1.32243,0.99039,1.11014,0.89373,0.77778,0.87132,0.59823,1.17913,0.92815,1.13378,0.000416,0.000416,0.000416
10,1416.46,1.26843,0.9176,1.07012,0.89603,0.79798,0.89591,0.63882,1.12036,0.86647,1.10617,0.000218,0.000218,0.000218
