epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.597,1.68473,2.62023,1.22056,0.63066,0.06336,0.06861,0.04425,1.38194,3.02604,1.09902,0.000656085,0.000656085,0.000656085
2,350.947,1.54635,1.68315,1.19217,0.58116,0.33333,0.27689,0.15997,1.41603,1.95023,1.18642,0.0012791,0.0012791,0.0012791
3,557.001,1.57168,1.61975,1.21043,0.66201,0.15741,0.16529,0.0973,1.46915,3.24983,1.27412,0.00185812,0.00185812,0.00185812
4,780.875,1.47877,1.38316,1.17258,0.568,0.18267,0.16288,0.0929,1.43668,1.73181,1.25123,0.001802,0.001802,0.001802
5,1024.65,1.48644,1.32257,1.19648,0.50002,0.17594,0.1807,0.11269,1.4088,1.4215,1.23762,0.001736,0.001736,0.001736
6,1237.3,1.41537,1.1709,1.1408,0.85993,0.15741,0.16589,0.1058,1.30311,1.30113,1.18616,0.00167,0.00167,0.00167
7,1543.79,1.40361,1.11154,1.14807,0.67457,0.11111,0.11261,0.06926,1.30365,1.23029,1.23596,0.001604,0.001604,0.001604
8,1860.94,1.36708,1.05025,1.11589,0.96429,0.11111,0.12314,0.08676,1.21315,1.1709,1.16417,0.001538,0.001538,0.001538
9,2196.54,1.39531,1.02256,1.13107,0.90033,0.10185,0.12138,0.08258,1.24795,1.07824,1.18955,0.001472,0.001472,0.001472
10,2502.03,1.30344,0.94601,1.08581,0.98112,0.06481,0.07975,0.06261,1.23895,1.00956,1.17798,0.001406,0.001406,0.001406
11,2825.49,1.30579,0.89925,1.08384,0.75301,0.12037,0.13196,0.09275,1.23811,1.06202,1.15218,0.00134,0.00134,0.00134
12,3194.89,1.28657,0.88467,1.07551,0.98875,0.05556,0.08033,0.05495,1.18153,0.92421,1.1264,0.001274,0.001274,0.001274
13,3526.62,1.27372,0.84667,1.06756,0.48661,0.11111,0.12729,0.09159,1.14254,0.81877,1.12647,0.001208,0.001208,0.001208
14,3884.81,1.26384,0.83281,1.05493,0.64426,0.15741,0.17219,0.12114,1.21721,0.8806,1.14323,0.001142,0.001142,0.001142
15,4232.03,1.25197,0.79461,1.05686,0.66433,0.12037,0.14916,0.10414,1.17216,0.90269,1.14401,0.001076,0.001076,0.001076
16,4629.49,1.19427,0.74995,1.03775,0.9227,0.11111,0.15094,0.10902,1.14105,0.81347,1.09018,0.00101,0.00101,0.00101
17,5026.3,1.19431,0.74065,1.03532,0.91086,0.12037,0.15406,0.10701,1.18469,0.91165,1.12623,0.000944,0.000944,0.000944
18,5429.52,1.17597,0.71509,1.02585,0.91639,0.12037,0.14826,0.10237,1.1077,0.82071,1.09181,0.000878,0.000878,0.000878
19,5838.58,1.21165,0.73158,1.03064,0.9373,0.17593,0.23485,0.17474,1.08358,0.7442,1.07242,0.000812,0.000812,0.000812
20,6304.95,1.17014,0.70474,1.02459,0.98914,0.05556,0.11804,0.09419,1.14494,0.81198,1.11056,0.000746,0.000746,0.000746
21,6983.42,1.16076,0.68863,1.02647,0.80689,0.18519,0.23315,0.15604,1.11862,0.76047,1.09094,0.00068,0.00068,0.00068
22,7563.81,1.18703,0.67464,1.02993,0.9878,0.05556,0.08309,0.06529,1.06988,0.71931,1.08893,0.000614,0.000614,0.000614
23,8147.23,1.16587,0.64782,1.02107,0.99031,0.05556,0.11947,0.09509,1.09292,0.72424,1.06835,0.000548,0.000548,0.000548
24,8758.23,1.13129,0.63541,1.01547,0.91875,0.12037,0.16883,0.12541,1.07006,0.70889,1.08696,0.000482,0.000482,0.000482
25,9329.06,1.1224,0.61976,1.00568,0.9886,0.07407,0.1058,0.08275,1.08456,0.75532,1.08009,0.000416,0.000416,0.000416
26,9911.53,1.1242,0.60719,1.00268,0.98933,0.05556,0.11666,0.09475,1.07541,0.74788,1.06738,0.00035,0.00035,0.00035
27,10494.7,1.09448,0.58502,0.99553,0.98844,0.07407,0.117,0.09355,1.05662,0.71614,1.06604,0.000284,0.000284,0.000284
28,11045.5,1.09483,0.60059,0.99599,0.91235,0.10185,0.19755,0.14844,1.04359,0.72658,1.07405,0.000218,0.000218,0.000218
29,11645.8,1.09688,0.58206,0.99329,0.98906,0.05556,0.19008,0.15839,1.05232,0.74633,1.07376,0.000152,0.000152,0.000152
30,12244.9,1.07875,0.57079,0.98979,0.91663,0.10185,0.2031,0.14727,1.03101,0.70835,1.07157,8.6e-05,8.6e-05,8.6e-05
